ma_len,us10y_th,vix_th,rsi_th,risk_pos,cagr,max_dd,calmar,avg_exposure,dd_peak,dd_trough
120,0.08,40,30,0.7,0.12927661596288886,-0.26489483726786733,0.48802995670376764,83.89377537212448,2020-02-19,2020-03-23
150,0.12,38,30,0.6,0.12927085285274953,-0.2390240755052716,0.5408277495875033,80.85250338294993,2020-02-19,2020-03-23
150,0.12,40,30,0.6,0.12927085285274953,-0.2390240755052716,0.5408277495875033,80.85250338294993,2020-02-19,2020-03-23
120,0.1,45,32,0.7,0.1292323784827274,-0.26489483726786767,0.4878629565439385,84.62449255751014,2020-02-19,2020-03-23
120,0.12,38,35,0.7,0.12922035821781064,-0.26489483726786744,0.48781757904605816,85.46684709066305,2020-02-19,2020-03-23
120,0.12,40,35,0.7,0.12922035821781064,-0.26489483726786744,0.48781757904605816,85.46684709066305,2020-02-19,2020-03-23
80,0.15,45,32,0.7,0.12920664190298847,-0.26489483726786744,0.4877657988189928,86.29905277401895,2020-02-19,2020-03-23
120,0.12,38,30,0.7,0.12915711213703474,-0.26489483726786733,0.48757881984097823,85.446549391069,2020-02-19,2020-03-23
120,0.12,40,30,0.7,0.12915711213703474,-0.26489483726786733,0.48757881984097823,85.446549391069,2020-02-19,2020-03-23
150,0.12,35,32,0.6,0.12912446395274646,-0.2390240755052716,0.5402153054239035,80.82543978349119,2020-02-19,2020-03-23
150,0.15,38,30,0.6,0.12910759482295653,-0.23902407550527172,0.5401447304002188,82.2868741542625,2020-02-19,2020-03-23
150,0.15,40,30,0.6,0.12910759482295653,-0.23902407550527172,0.5401447304002188,82.2868741542625,2020-02-19,2020-03-23
180,0.08,45,30,0.7,0.12907310963098628,-0.26489483726786744,0.4872617034074724,83.95466847090663,2020-02-19,2020-03-23
80,0.08,38,32,0.7,0.12905076030613039,-0.2648948372678671,0.4871773328508913,83.73139377537213,2020-02-19,2020-03-23
80,0.08,38,35,0.7,0.12905076030613039,-0.2648948372678671,0.4871773328508913,83.73139377537213,2020-02-19,2020-03-23
80,0.08,40,32,0.7,0.12905076030613039,-0.2648948372678671,0.4871773328508913,83.73139377537213,2020-02-19,2020-03-23
80,0.08,40,35,0.7,0.12905076030613039,-0.2648948372678671,0.4871773328508913,83.73139377537213,2020-02-19,2020-03-23
120,0.12,35,32,0.7,0.1290470236810175,-0.26489483726786733,0.48716322678090695,85.42625169147497,2020-02-19,2020-03-23
180,0.12,38,35,0.7,0.12903819719894605,-0.26489483726786744,0.48712990607838763,85.53788903924222,2020-02-19,2020-03-23
180,0.12,40,35,0.7,0.12903819719894605,-0.26489483726786744,0.48712990607838763,85.53788903924222,2020-02-19,2020-03-23
150,0.15,35,32,0.6,0.12900118507986247,-0.2390240755052716,0.5396995461949496,82.25981055480376,2020-02-19,2020-03-23
150,0.15,45,32,0.5,0.1289769975098154,-0.21274680871232576,0.6062464499019437,77.90933694181325,2020-02-19,2020-03-23
180,0.12,38,30,0.7,0.12897496132075825,-0.26489483726786744,0.48689118538892456,85.51759133964818,2020-02-19,2020-03-23
180,0.12,40,30,0.7,0.12897496132075825,-0.26489483726786744,0.48689118538892456,85.51759133964818,2020-02-19,2020-03-23
200,0.12,45,35,0.6,0.12896319559806146,-0.2390240755052715,0.5395406103985424,80.58186738836265,2020-02-19,2020-03-23
100,0.15,38,35,0.7,0.12893670348575603,-0.2648948372678672,0.4867467588859519,86.5020297699594,2020-02-19,2020-03-23
100,0.15,40,35,0.7,0.12893670348575603,-0.2648948372678672,0.4867467588859519,86.5020297699594,2020-02-19,2020-03-23
200,0.15,38,35,0.6,0.12892828023982128,-0.23902407550527138,0.5393945357482532,82.01623815967523,2020-02-19,2020-03-23
200,0.15,40,35,0.6,0.12892828023982128,-0.23902407550527138,0.5393945357482532,82.01623815967523,2020-02-19,2020-03-23
150,0.1,38,32,0.6,0.1289179689097204,-0.23902407550527138,0.5393513964532718,79.7293640054127,2020-02-19,2020-03-23
150,0.1,40,32,0.6,0.1289179689097204,-0.23902407550527138,0.5393513964532718,79.7293640054127,2020-02-19,2020-03-23
150,0.1,45,32,0.6,0.1289179689097204,-0.23902407550527138,0.5393513964532718,79.7293640054127,2020-02-19,2020-03-23
180,0.15,38,30,0.7,0.1289164243966019,-0.26489483726786744,0.48667020364099733,86.60351826792963,2020-02-19,2020-03-23
180,0.15,40,30,0.7,0.1289164243966019,-0.26489483726786744,0.48667020364099733,86.60351826792963,2020-02-19,2020-03-23
200,0.1,35,35,0.7,0.12891620009900384,-0.26489483726786744,0.4866693568989454,84.52300405953991,2020-02-19,2020-03-23
200,0.08,45,32,0.6,0.1289053580750934,-0.2390240755052715,0.5392986367695437,78.4573748308525,2020-02-19,2020-03-23
200,0.08,45,35,0.6,0.1289053580750934,-0.2390240755052715,0.5392986367695437,78.4573748308525,2020-02-19,2020-03-23
120,0.1,38,32,0.7,0.12888884781314958,-0.26489483726786767,0.48656609974929127,84.61434370771313,2020-02-19,2020-03-23
120,0.1,40,32,0.7,0.12888884781314958,-0.26489483726786767,0.48656609974929127,84.61434370771313,2020-02-19,2020-03-23
200,0.12,45,30,0.6,0.12887748746110073,-0.23902407550527183,0.5391820350676694,80.55480378890391,2020-02-19,2020-03-23
180,0.12,35,32,0.7,0.1288648906237413,-0.26489483726786733,0.4864756593705537,85.49729364005412,2020-02-19,2020-03-23
